iter	Passed	Remaining
603	2729	1789
604	2734	1785
605	2739	1780
606	2743	1776
607	2748	1772
608	2754	1768
609	2758	1763
610	2763	1759
611	2768	1755
612	2773	1751
613	2778	1746
614	2783	1742
615	2787	1737
616	2792	1733
617	2797	1729
618	2801	1724
619	2806	1720
620	2811	1715
621	2816	1711
622	2820	1706
623	2825	1702
624	2830	1698
625	2835	1693
626	2839	1689
627	2844	1685
628	2849	1680
629	2855	1676
630	2859	1672
631	2864	1667
632	2869	1663
633	2874	1659
634	2878	1654
635	2883	1650
636	2886	1645
637	2891	1640
638	2896	1636
639	2901	1631
640	2905	1627
641	2910	1623
642	2915	1618
643	2920	1614
644	2925	1610
645	2930	1606
646	2935	1601
647	2940	1597
648	2945	1593
649	2950	1588
650	2955	1584
651	2961	1580
652	2965	1576
653	2970	1571
654	2975	1567
655	2980	1562
656	2984	1558
657	2989	1553
658	2994	1549
659	2999	1544
660	3003	1540
661	3008	1536
662	3013	1531
663	3018	1527
664	3022	1522
665	3027	1518
666	3032	1513
667	3037	1509
668	3042	1505
669	3046	1500
670	3051	1496
671	3056	1492
672	3061	1487
673	3066	1483
674	3071	1478
675	3075	1474
676	3080	1469
677	3085	1465
678	3090	1460
679	3094	1456
680	3099	1451
681	3104	1447
682	3108	1442
683	3113	1438
684	3117	1433
685	3121	1428
686	3126	1424
687	3131	1420
688	3136	1415
689	3140	1410
690	3144	1406
691	3149	1401
692	3153	1397
693	3157	1392
694	3162	1387
695	3167	1383
696	3171	1378
697	3176	1374
698	3180	1369
699	3186	1365
700	3190	1360
701	3195	1356
702	3199	1351
703	3203	1347
704	3208	1342
705	3212	1337
706	3216	1333
707	3221	1328
708	3225	1323
709	3230	1319
710	3235	1314
711	3239	1310
712	3244	1305
713	3249	1301
714	3253	1296
715	3258	1292
716	3263	1287
717	3268	1283
718	3272	1279
719	3277	1274
720	3282	1270
721	3286	1265
722	3291	1261
723	3296	1256
724	3301	1252
725	3306	1247
726	3310	1243
727	3315	1238
728	3320	1234
729	3324	1229
730	3329	1225
731	3334	1220
732	3339	1216
733	3343	1211
734	3348	1207
735	3352	1202
736	3357	1198
737	3362	1193
738	3367	1189
739	3372	1184
740	3377	1180
741	3382	1176
742	3387	1171
743	3392	1167
744	3397	1162
745	3402	1158
746	3407	1154
747	3412	1149
748	3417	1145
749	3421	1140
750	3426	1136
751	3431	1131
752	3436	1127
753	3440	1122
754	3445	1118
755	3450	1113
756	3455	1109
757	3459	1104
758	3464	1100
